shipper_id,order_id,ship_date,delivery_date,shipping_fee,shipper_company,shipper_vehicle,shipper_experience_years,shipper_rating,delivery_success_rate,average_delivery_time,working_shift,join_date,shipper_name,shipper_phone,shipper_gender,shipper_age,shipper_marital_status,shipper_education,city,region,district,delivery_days
SHP00001,1,2012-07-07,2012-07-11,1.37,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27.0,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25,4
SHP00002,2,2012-07-06,2012-07-10,2.6,J&T Express,Van,2,4.9,98.4,72,Afternoon,2025-01-29,Trần Anh Khánh,959297982,Male,41.0,Married,Bachelor,Phan Thiet,Central,District #29,4
SHP00003,3,2012-07-04,2012-07-07,2.38,GHN,Motorbike,10,4.8,95.1,53,Evening,2019-11-13,Hoàng Thị Khánh,927142576,Male,30.0,Single,High School,Long Xuyen,West,District #34,3
SHP00004,4,2012-07-05,2012-07-11,2.49,Viettel Post,Truck,8,5.0,96.3,53,Evening,2025-12-22,Trần Đức Vy,971617475,Female,42.0,Married,College,Kon Tum,Central,District #27,6
SHP00005,6,2012-07-09,2012-07-16,25.79,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19,Trần Minh Cường,979196342,Male,31.0,Married,College,Da Nang,Central,District #23,7
SHP00006,7,2012-07-06,2012-07-12,1.31,J&T Express,Van,9,4.7,96.0,41,Afternoon,2024-02-02,Võ Thanh Nam,951235544,Female,41.0,Married,Bachelor,Hoi An,Central,District #29,6
SHP00007,8,2012-07-06,2012-07-11,0.43,BEST Express,Truck,6,4.4,99.6,75,Afternoon,2024-06-06,Hoàng Anh Hùng,987597617,Female,34.0,Single,High School,Phu Ly,East,District #09,5
SHP00008,9,2012-07-07,2012-07-13,0.18,BEST Express,Truck,5,4.7,95.9,69,Afternoon,2022-03-11,Phạm Thanh Trang,914419500,Female,34.0,Married,Bachelor,Lao Cai,East,District #16,6
SHP00009,10,2012-07-07,2012-07-13,0.86,BEST Express,Truck,12,4.3,97.4,66,Evening,2022-10-06,Nguyễn Thanh Bình,909770946,Female,53.0,Married,College,Phu Ly,East,District #10,6
SHP00010,13,2012-07-09,2012-07-12,2.44,Ahamove,Motorbike,8,4.5,99.5,44,Evening,2022-08-10,Bùi Đức Bình,921691981,Male,31.0,Single,Bachelor,Tra Vinh,West,District #37,3
SHP00011,15,2012-07-07,2012-07-10,0.4,J&T Express,Van,5,4.6,98.4,74,Afternoon,2023-03-23,Võ Thị Hùng,940850445,Female,43.0,Single,High School,Son Tay,East,District #03,3
SHP00012,16,2012-07-07,2012-07-12,1.91,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01,Nguyễn Thị Bình,972210652,Female,49.0,Single,Bachelor,Ha Long,East,District #07,5
SHP00013,17,2012-07-08,2012-07-11,1.54,BEST Express,Truck,10,4.2,97.7,47,Morning,2025-10-28,Lê Anh Hà,984678290,Female,39.0,Single,College,Tam Ky,Central,District #23,3
SHP00014,18,2012-07-06,2012-07-11,2.33,J&T Express,Van,8,4.8,96.3,71,Evening,2018-02-10,Lê Gia Vy,971290529,Male,50.0,Single,Bachelor,Phan Thiet,Central,District #32,5
SHP00007,20,2012-07-07,2012-07-14,2.23,BEST Express,Truck,6,4.4,99.6,75,Afternoon,2024-06-06,Hoàng Anh Hùng,987597617,Female,34.0,Single,High School,Phu Ly,East,District #09,7
SHP00015,21,2012-07-04,2012-07-07,1.04,Viettel Post,Truck,1,4.3,98.8,42,Afternoon,2024-12-22,Bùi Văn Hùng,946414069,Female,48.0,Single,Bachelor,Son Tay,East,District #06,3
SHP00012,23,2012-07-09,2012-07-12,0.18,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01,Nguyễn Thị Bình,972210652,Female,49.0,Single,Bachelor,Ha Long,East,District #07,3
SHP00016,24,2012-07-08,2012-07-11,0.03,Viettel Post,Truck,6,4.9,96.6,59,Afternoon,2020-01-05,Bùi Văn Trang,926827357,Male,55.0,Married,High School,Hue,Central,District #25,3
SHP00005,25,2012-07-06,2012-07-13,1.23,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19,Trần Minh Cường,979196342,Male,31.0,Married,College,Da Nang,Central,District #23,7
SHP00017,28,2012-07-07,2012-07-11,0.47,GHN,Motorbike,11,5.0,98.1,69,Afternoon,2025-08-24,Bùi Thị Hùng,908818611,Female,51.0,Married,College,Hue,Central,District #20,4
SHP00018,29,2012-07-08,2012-07-14,23.04,GHN,Motorbike,7,4.3,98.5,63,Afternoon,2020-08-27,Lê Gia Phong,902541877,Female,52.0,Single,College,Uong Bi,East,District #11,6
SHP00019,30,2012-07-07,2012-07-11,31.59,GHN,Motorbike,2,4.8,96.5,39,Evening,2023-11-03,Đặng Văn Nam,991210929,Female,46.0,Single,Bachelor,Quy Nhon,Central,District #21,4
SHP00020,32,2012-07-06,2012-07-12,1.1,Ninja Van,Van,6,5.0,95.7,57,Afternoon,2025-03-30,Hoàng Đức Giang,903070385,Female,53.0,Married,High School,Phan Rang-Thap Cham,Central,District #30,6
SHP00021,33,2012-07-05,2012-07-08,0.28,GHN,Motorbike,12,4.3,99.7,20,Morning,2023-12-12,Lê Quốc Trang,960718218,Female,48.0,Married,Bachelor,Tuy Hoa,Central,District #32,3
SHP00022,34,2012-07-07,2012-07-11,1.45,Ahamove,Motorbike,7,4.8,99.4,31,Morning,2018-06-29,Lê Thanh Nam,988804431,Male,54.0,Single,Bachelor,Cam Pha,East,District #19,4
SHP00023,35,2012-07-06,2012-07-12,0.16,Shopee Express,Motorbike,6,4.6,95.9,20,Evening,2023-11-06,Bùi Văn Hà,928729869,Male,36.0,Single,College,Uong Bi,East,District #06,6
SHP00024,36,2012-07-06,2012-07-09,25.47,Ninja Van,Van,3,4.5,96.4,71,Evening,2023-07-11,Hoàng Thị Nam,993822938,Female,55.0,Married,High School,Bac Giang,East,District #15,3
SHP00025,38,2012-07-06,2012-07-09,31.33,GHTK,Motorbike,10,4.6,98.6,25,Evening,2021-05-19,Trần Đức Cường,922791841,Male,33.0,Single,High School,Kon Tum,Central,District #25,3
SHP00026,39,2012-07-07,2012-07-09,2.36,Ninja Van,Van,11,4.3,96.0,21,Afternoon,2025-11-16,Nguyễn Thanh Hùng,902981241,Male,37.0,Single,High School,Lao Cai,East,District #16,2
SHP00001,41,2012-07-05,2012-07-10,1.86,Viettel Post,Truck,7,5.0,99.0,61,Evening,2026-03-17,Bùi Văn Long,991476209,Male,27.0,Married,Bachelor,Phan Rang-Thap Cham,Central,District #25,5
SHP00017,43,2012-07-05,2012-07-08,1.52,GHN,Motorbike,11,5.0,98.1,69,Afternoon,2025-08-24,Bùi Thị Hùng,908818611,Female,51.0,Married,College,Hue,Central,District #20,3
